title,release_date,director,cast
Flipped,2010,Rob Reiner,"Madeline Carroll, Callan McAuliffe, Rebecca De Mornay, Anthony Edwards, John Mahoney, Penelope Ann Miller, Aidan Quinn, Morgan Lily, Ryan Ketzner"
Heartbreaker,2010,Pascal Chaumeil,"Romain Duris, Vanessa Paradis, Julie Ferrier, François Damiens, Héléna Noguerra, Andrew Lincoln, Jacques Frantz"
"Virginity Hit, The",2010,"Andrew Gurland, Huck Botko","Matt Bennett, Zack Pearlman, Jacob Davich, Justin Kline, Krysta Rodriguez, Nicole Weaver, Savannah Welch, Sunny Leone"
"Disappearance of Alice Creed, The",2010,J Blakeson,"Gemma Arterton, Martin Compston, Eddie Marasan"
Machete,2010,"Robert Rodriguez, Ethan Maniquis","Danny Trejo, Robert De Niro, Jessica Alba, Michelle Rodriguez, Steven Seagal, Jeff Fahey, Cheech Marin, Don Johnson, Lindsay Lohan"
"American, The",2010,Anton Corbijn,"George Clooney, Johan Leysen, Violante Placido, Thekla Reuten, Paolo Bonacelli"
Mesrine: Public Enemy No. 1,2010,Jean-François Richet,"Vincent Cassel, Ludivine Sagnier, Mathieu Amalric, Samuel Le Bihan, Gérard Lanvin, Olivier Gourmet, Georges Wilson"
Going the Distance,2010,Nanette Burstein,"Drew Barrymore, Justin Long, Charlie Day, Jason Sudeikis, Christina Applegate"
"Hurt Locker, The",2009,Kathryn Bigelow,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce, Ralph Fiennes, David Morse, Evangeline Lilly, Christian Camargo"
Transformers: Revenge of the Fallen,2009,Michael Bay,"Shia LaBeouf, Megan Fox, Ramon Rodriguez, John Turturro, Josh Duhamel, Peter Cullen (voice), Hugo Weaving (voice), Tony Todd (voice)"
Cheri,2009,Stephen Frears,"Michelle Pfeiffer, Rupert Friend, Kathy Bates, Felicity Jones, Frances Tomelty, Anita Pallenberg, Harriet Walter, Iben Hjejle"
About Last Night...,1986,Edward Zwick,"Rob Lowe, Demi Moore, James Belushi, Elizabeth Perkins"
Whatever Works,2009,Woody Allen,"Larry David, Evan Rachel Wood, Patricia Clarkson, Ed Begley Jr., Henry Cavill"
Stand By Me,1986,Rob Reiner,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland, Casey Siemaszko, Gary Riley"
Year One,2009,Harold Ramis,"Jack Black, Olivia Wilde, Juno Temple, Hank Azaria, Vinnie Jones, Christopher Mintz-Plasse, David Cross, Oliver Platt, Michael Cera, June Diane Raphael"
"Proposal, The",2009,Anne Fletcher,"Sandra Bullock, Ryan Reynolds, Mary Steenburgen, Craig T. Nelson, Betty White, Denis O'Hare, Malin Akerman, Oscar Nunez"
"Taking of Pelham 123, The",2009,Tony Scott,"Denzel Washington, John Travolta, Luis Guzmán, John Turturro, James Gandolfini, Michael Rispoli, Victor Gojcaj, Robert Vataj"
Imagine That,2009,Karey Kirkpatrick,"Eddie Murphy, Yara Shahidi, Thomas Haden Church, Nicole Ari Parker, Ronny Cox, Martin Sheen, DeRay Davis"
Match Point,2005,Woody Allen,"Jonathan Rhys-Meyers, Scarlett Johansson, Emily Mortimer, Matthew Goode, Brian Cox, Penelope Wilton"
Inside Deep Throat,2005,"Fenton Bailey, Randy Barbato",Dennis Hopper
Payback,1999,Brian Helgeland,"Mel Gibson, Maria Bello, Gregg Henry, James Coburn, Kris Kristofferson, William Devane, David Paymer, Deborah Kara Unger"
Hollow Man,2000,Paul Verhoeven,"Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens, Greg Grunberg, Mary Jo Randle, Joey Slotnick, William Devane"
Sommersby,1993,John Amiel,"Richard Gere, Jodie Foster, Bill Pullman, James Earl Jones, Lanny Flaherty"
Dear God,1996,Garry Marshall,"Greg Kinnear, Laurie Metcalf, Maria Pitillo, Tim Conway, Roscoe Lee Browne, Jen Seda, Hector Elizondo"
Because I Said So,2007,Michael Lehmann,"Diane Keaton, Mandy Moore, Gabriel Macht, Tom Everett Scott, Lauren Graham, Piper Perabo, Stephen Collins"
Street Kings,2008,David Ayer,"Keanu Reeves, Forest Whitaker, Hugh Laurie, Chris Evans"
Downfall,2005,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes, Juliane Köhler, Heino Ferch"
"Man, The",2005,Les Mayfield,"Samuel L. Jackson, Eugene Levy, Luke Goss, Miguel Ferrer, Susie Essman"
Measure of a Man,2018,Jim Loach,"Blake Cooper, Judy Greer, Luke Wilson, Liana Liberato, Donald Sutherland, Danielle Rose Russell, Beau Knapp, Luke Benward"
RBG,2018,"Julie Cohen, Betsy West",Ruth Bader Ginsburg
Splendor,1989,Ettore Scola,"Marcello Mastroianni, Massimo Troisi, Marina Vlady"
Anon,2018,Andrew Niccol,"Clive Owen, Amanda Seyfried, Colm Feore, Daniel Stolfi"
"Graduate, The",,Mike Nichols,"Dustin Hoffman, Anne Bancroft, Katharine Ross, William Daniels, Murray Hamilton, Elizabeth Wilson, Buck Henry, Norman Fell"
Overboard,2018,Rob Greeenberg,"Anna Faris, Eugenio Derbez, Eva Longoria, John Hannah, Mel Rodriguez, Swoosie Kurtz, Emily Maddison, Hannah Nordberg, Alyvia Alyn Lind"
Tully,2018,Jason Reitman,"Charlize Theron, Mackenzie Davis, Ron Livingstone, Jay Duplass, Elaine Tan"
Duck Butter,2018,Miguel Arteta,"Alia Shawkat, Laia Costa"
Supercon,2018,Zak Knutson,"Maggie Grace, Clancy Brown, John Malkovich, Ryan Kwanten, Mike Epps, Russell Peters, Brooks Braselman"
Avengers: Infinity War,2018,"Joe Russo, Anthony Russo","Robert Downey Jr., Chris Evans, Chris Hemsworth, Benedict Cumberbatch, Mark Ruffalo, Josh Brolin, Tom Holland, Elizabeth Olsen, Chris Pratt, Chadwick Boseman, Paul Bettany, Zoe Saldana, Scarlett Johansson, Bradley Cooper, Peter Dinklage"
Happy-Go-Lucky,2008,Mike Leigh,"Sally Hawkins, Eddie Marsan, Alexis Zegerman, Samuel Roukin"
Mulholland Drive,2001,David Lynch,"Justin Theroux, Naomi Watts, Laura Elena Harring, Ann Miller"
"Mask, The",1994,Charles Russell,"Jim Carrey, Peter Riegert, Peter Greene, Amy Yasbeck, Cameron Diaz, Max"
Glory,1989,Edward Zwick,"Matthew Broderick, Denzel Washington, Cary Elwes, Morgan Freeman, Jihmi Kennedy, Andre Braugher, John Finn"
"Rock, The",1996,Michael Bay,"Sean Connery, Bokeem Woodbine, John C. McGinley, John Spencer, David Morse, William Forsythe, Michael Biehn, Ed Harris, Nicolas Cage, Vanessa Marcil"
Kickin' It Old Skool,2007,Harvey Glazer,"Jamie Kennedy, Maria Menounos, Miguel A. Nunez Jr., Michael Rosenbaum, Bobby Lee, Aris Alvarado, Christopher McDonald, Debra Jo Rupp"
Glengarry Glen Ross,1992,James Foley,"Al Pacino, Jack Lemmon, Ed Harris, Alan Arkin, Kevin Spacey, Alec Baldwin, Jonathan Pryce"
Tideland,2006,Terry Gilliam,"Jodelle Ferland, Jeff Bridges, Brendan Fletcher, Janet McTeer"
City of Ember,2008,Gil Kenan,"Saoirse Ronan, Harry Treadaway, Bill Murray, Tim Robbins, Martin Landau, Toby Jones, Mary Kay Place"
Amores Perros,2001,Alejandro González Iñárritu ,"Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero, Vanessa Bauche, Jorge Salinas, Marco Pérez, Rodrigo Murray"
Viridiana,,Luis Bunuel,"Silvia Pinal, Francisco Rabal, Fernando Rey, Margarita Lozano"
Get Duked!,2020,Ninian Doff,"Lewis Gribben, Rian Gordon, Viraj Juneja, Samuel Bottomley, Jonathan Aris, Eddie Izzard, Georgie Glen"
Mulan,2020,Niki Caro,"Liu Yifei, Donnie Yen, Gong Li, Jet Li, Jason Scott Lee, Yonson An, Tzi Ma, Rosalind Chao"
Bill &amp; Ted Face the Music,2020,Dean Parisot,"Keanu Reeves, Alex Winter, Kristen Schaal, Samara Weaving, Brigette Lundy-Paine, William Sadler, Anthony Carrigan, Erinn Hayes, Jayma Mays"
Tenet,2020,Christopher Nolan,"John David Washington, Robert Pattinson, Elizabeth Debicki, Kenneth Branagh, Michael Caine, Aaron Taylor-Johnson, Dimple Kapadia"
"Personal History of David Copperfield, The",2020,Armondo Iannucci,"Dev Patel, Tilda Swinton, Hugh Laurie, Peter Capaldi, Morfydd Clark, Rosalind Eleazar, Ben Whishaw, Benedict Wong, Darren Boyd, Gwendoline Christie"
Tesla,2020,Michael Almereyda,"Ethan Hawke, Eve Hewson, Kyle MacLachlan, Jim Gaffigan, Josh Hamilton, Lucy Walters, David Kallaway, Donnie Keshawarz, Rebecca Dayan"
Chemical Hearts,2020,Richard Tanne,"Lili Reinhart, Austin Abrams, Sarah Jones, Kara Young, Coral Pena, C.J. Hoff, Shannon Walsh, Bruce Altman, Meg Gibson"
Project Power,2020,"Henry Joost, Ariel Schulman","Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker"
"American Pickle, An",2020,Brandon Trost,"Seth Rogen, Sarah Snook, Molly Evensen, Eliot Glazer, Kalen Allen"
"Karate Kid, The",2010,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Zhiheng Wang, Rongguang Yu"
Solitary Man,2010,"Brian Koppelman, David Levien","Michael Douglas, Susan Sarandon, Danny DeVito, Mary-Louise Parker, Jenna Fischer, Imogen Poots, Jesse Eisenberg"
Splice,2010,Vincenzo Natali,"Adrien Brody, Sarah Polley, Delphine Chaneac, Brandon McGibbon, David Hewlett"
Get Him to the Greek,2010,Nicholas Stoller,"Jonah Hill, Russell Brand, Sean Combs, Rose Byrne, Elisabeth Moss, Colm Meaney"
Sex and the City 2,2010,Michael Patrick King,"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon, Chris Noth, Evan Handler, John Corbett"
Prince of Persia: The Sands of Time,2010,Mike Newell,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley, Alfred Molina, Toby Kebbell, Richard Coyle, Ronald Pickup, Gisli Orn Garoarsson"
Micmacs,2010,Jean-Pierre Jeunet,"Dany Boon, Michel Crémadès, Dominique Pinon, Omar Sy, Julie Ferrier, Yoland Moreau, Jean-Pierre Marielle, Nicholas Marié, André Dussollier, Marie-Julie Baup"
MacGruber,2010,Jorma Taccone,"Will Forte, Kristin Wiig, Ryan Philippe, Val Kilmer, Powers Boothe, Maya Rudolph"
Survival of the Dead,2010,George A. Romero,"Alan Van Sprang, Kenneth Welsh, Kathleen Munroe, Devon Bostick, Richard Fitzpatrick, Athena Karkanis, Stefano Di Matteo"
Shrek Forever After,2010,Mike Mitchell,"(voices) Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas, Walt Dohrn, Jon Hamm, Craig Robinson"
"Artist, The",2011,Michel Hazanavicius,"Jean Dujardin, Berenice Bejo, John Goodman, James Cromwell, Penelope Ann Miller, Missi"
War Horse,2011,Steven Spielberg,"Jeremy Irvine, Benedict Cumberbatch, Emily Watson, Peter Mullan, David Thewlis, Tom Hiddleston, Niels Arestrup, Celine Buckens"
Extremely Loud and Incredibly Close,2011,Stephen Daldry,"Thomas Horn, Tom Hanks, Sandra Bullock, John Goodman, Max von Sydow, Viola Davis, Jeffrey Wright, Zoe Caldwell"
We Bought a Zoo,2011,Cameron Crowe,"Matt Damon, Scarlett Johansson, Colin Ford, Elle Fanning, Thomas Haden Church, Maggie Elizabeth Jones, Angus MacFadyen, Patrick Fugit, John MIchael Higgins"
"Girl with the Dragon Tattoo, The (2011)",2011,David Fincher,"Daniel Craig, Geraldine James, Joely Richardson, Yorick van Wageningen, Robin Wright, Steven Berkoff, Stellan Skarsgard, Christopher Plummer, Rooney Mara, Goran Visnjic"
"Adventures of Tintin, The",2011,Steven Spielberg,"(voices) Jamie Bell, Daniel Craig, Andy Serkis, Simon Pegg, Nick Frost, Toby Jones"
Mission: Impossible - Ghost Protocol,2011,Brad Bird,"Tom Cruise, Paula Patton, Simon Pegg, Jeremy Renner, Michael Nyqvist, Vladimir Mashkov, Samuli Edelmann, Anil Kapoor"
Sherlock Holmes: A Game of Shadows,2011,Guy Ritchie,"Robert Downey Jr., Jude Law, Noomi Rapace, Jared Harris, Stephen Fry, Kelly Reilly, Rachel McAdams"
Carnage,2011,Roman Polanski,"Jodie Foster, Kate Winslet, Christoph Waltz, John C. Reilly"
"Sitter, The",2011,David Gordon Green,"Jonah Hill, Ari Graynor, Sam Rockwell, Max Records, Landry Bender, Kevin Hernandez"
1408,2007,Mikael Håfström,"John Cusack, Mary McCormack, Samuel L. Jackson"
Winter Passing,2005,Adam Rapp,"Zooey Deschanel, Ed Harris, Will Ferrell, Amelia Warner, Amy Madigan"
Innocent Voices,2005,Luis Mandoki,"Carlos Padilla, Leonor Varela, Xuna Primus, Gustavo Muñoz, José Maria, Ofelia Medina, Daniel Giménez Cacho"
"Breakfast Club, The",,John Hughes,"Emilio Estevez, Anthony Michael Hall, Judd Nelson, Molly Ringwald, Ally Sheedy, Paul Gleason, John Kapelos"
Shadow Conspiracy,1997,George P. Cosmatos,"Charlie Sheen, Linda Hamilton, Donald Sutherland, Stephen Lang, Ben Gazzara, Nicholas Turturro, Theodore Bikel, Sam Waterston, Gore Vidal"
Star Wars (Episode 1): The Phantom Menace,1999,George Lucas,"Liam Neeson, Anthony Daniels, Kenny Baker, Ahmed Best, Frank Oz, Pernilla August, Terence Stamp, Oliver Ford Davies, Samuel L. Jackson, Ian McDiarmid, Jake Lloyd, Natalie Portman, Ewan McGregor, Ray Park"
After the Wedding,2007,Susanne Bier,"Mads Mikkelsen, Rolf Lassgård, Sidse Babett Knudsen, Stine Fischer Christensen, Christian Tafdruip"
All the Real Girls,2003,David Gordon Green,"Zooey Deschanel, Paul Schneider, Patricia Clarkson, Shea Whigham"
Mad Hot Ballroom,2005,Marilyn Agrelo,"The classes of PS 150, PS 115, and PS 112"
Journey to the Center of the Earth,2008,Eric Brevig,"Brendan Fraser, Josh Hutcherson, Anita Briem"
Lovelace,2013,Rob Epstein &amp; Jeffrey Friedman,"Amanda Seyfried, Peter Sarsgaard, Sharon Stone, Robert Patrick, Juno Temple, Chris Noth"
Blue Jasmine,2013,Woody Allen,"Cate Blanchett, Sally Hawkins, Alec Baldwin, Andrew Dice Clay, Bobby Cannavale, Louis C.K., Peter Sarsgaard"
Elysium,2013,Neill Blomkamp,"Matt Damon, Jodie Foster, Sharlto Copley, Alice Braga, Diego Luna, Wagner Moura, William Fichtner"
We're the Millers,2013,Rawson Marshall Thurber,"Jennifer Aniston, Jason Sudeikis, Emma Roberts, Will Poulter, Nick Offerman, Kathryn Hahn, Molly C. Quinn, Ed Helms"
"Canyons, The",2013,Paul Schrader,"Lindsay Lohan, James Deen, Nolan Funk, Amanda Brooks, Tenille Houston"
"Spectacular Now, The",2013,James Ponsoldt,"Miles Teller, Shailene Woodley, Brie Larson, Mary Elizabeth Winstead, Jennifer Jason Leigh, Kyle Chandler"
2 Guns,2013,Baltasar Kormakur,"Denzel Washington, Mark Wahlberg, Paula Patton, Bill Paxton, James Marsden, Edward James Olmos"
"Wolverine, The",2013,James Mangold,"Hugh Jackman, Rila Fukushima, Tao Okamoto, Svetlana Khodchenkova, Will Yun Lee, Famke Janssen, Hiroyuki Sanada, Hal Yamanouchi"
"To Do List, The",2013,Maggie Carey,"Aubrey Plaza, Connie Britton, Christopher Mintz-Plasse, Rachel Bilson, Scott Porter, Sarah Steele, Alia Shawkat, Bill Hader, Johnny Simmons, Clark Gregg"
Fruitvale Station,2013,Ryan Coogler,"Michael B. Jordan, Melonie Diaz, Octavia Spencer, Kevin Durand, Chad Michael Murray"
Casa de Mi Padre,2012,Matt Piedmont,"Will Ferrell, Genesis Rodriguez, Gael Garcia Bernal, Diego Luna, Pedro Armendariz Jr."
John Carter,2012,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton, Tars Tarkas, Thomas Hayden Church, Mark Strong, Ciaran Hinds, Dominic West, James Purefoy"
Silent House,2012,"Chris Kentis, Laura Lau","Elizabeth Olsen, Adam Trese, Eric Sheffer Stevens"
Salmon Fishing in the Yemen,2012,Lasse Hallstrom,"Ewan McGregor, Emily Blunt, Kristin Scott Thomas, Rachael Stirling, Amr Waked, Tom Mison"
Cannibal Holocaust,1985,Ruggero Deodato,"Robert Kerman, Francesca Ciardi, Gabriel Yorke, Perry Pirkanen, Luca Giorgio Barbareschi"
Project X,2012,Nima Nourizadeh,"Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame, Kirby Bliss Blanton, Alexis Knapp"
"Lorax, The",2012,Chris Renaud,"(voices) Danny DeVito, Ed Helms, Zac Efron, Taylor Swift, Betty White, Rob Riggle"
Wanderlust,2012,David Wain,"Paul Rudd, Kerry Kenney-Silver, Kathryn Hahn, Joe Lo Truglio, Ken Marino, Malin Akerman, Alan Alda, Justin Theroux, Jennifer Aniston, Lauren Ambrose"
Act of Valor,2012,"Mike McCoy, Scott Waugh","Roselyn Sanchez, Alex Veadov, Dimiter Marinov"
Ghost Rider: Spirit of Vengeance,2012,Neveldine &amp; Taylor,"Nicolas Cage, Violante Placido, Ciaran Hinds, Idris Elba, Johnny Whitworth, Fergus Riordan"
Dark City,1998,Alex Proyas,"Rufus Sewell, Kiefer Sutherland, Jennifer Connelly, Richard O'Brien, Ian Richardson, William"
Yojimbo,,Akira Kurosawa,"Toshiro Mifune, Eijiro Tono, Seizaburo Kawazu, Kyu Sazanka, Tatsuya Nakadai, Daisuke Kato"
"Postman, The",1997,Kevin Costner,"Kevin Costner, Will Patton, Larenz Tate, Olivia Williams, James Russo, Tom Petty"
Curse of the Golden Flower,2006,Zhang Yimou,"Chow Yun Fat, Gong Li, Jay Chou, Lie Ye, Chen Jin, Ni Dahong, Li Man, Qin Junjie"
"Matador, The",2005,Richard Shepard,"Pierce Brosnan, Greg Kinnear, Hope Davis"
Romeo + Juliet,1996,Baz Luhrmann,"Leonardo DiCaprio, Claire Danes, Brian Dennehy, John Leguizamo, Pete Postlethwaite, Paul Sorvino, Miriam Margolyes, Diane Venora, Harold Perrineau"
Welcome to Mooseport,2004,Donald Petrie,"Gene Hackman, Ray Romano, Marcia Gay Harden, Maura Tierney, Christine Baranski, Fred Savage, Rip Torn"
Secret of Roan Inish,,John Sayles,"Jeni Courtney, Mick Lally, Richard Sheridan, Eileen Colgan, John Lynch"
Mean Girls,2004,Mark S. Waters,"Lindsay Lohan, Tina Fey, Lizzy Caplan, Rachel McAdams, Lacey Chabert, Daniel Franzese, Tim Meadows, Jonathan Bennett, Amanda Seyfried"
eXistenZ,,David Cronenberg,"Jennifer Jason Leigh, Jude Law, Willem Dafoe, Ian Holm, Don McKellar, Callum Keith Rennie, Sarah Polley, Christopher Eccleston"
Insidious: The Last Key,2018,Adam Robitel,"Lin Shaye, Caitlin Gerard, Tessa Ferrer, Kirk Acevedo, Bruce Davision, Hana Hayes, Ava Kolker, Angus Sampson, Leigh Whannell, Spencer Locke"
"Vanished Elephant, The",2015,Javier Fuentes-Leon,"Salvador del Solar, Lucho Caceres, Vanessa Saba, Angie Cepeda"
In the Fade,2017,Fatih Akin,"Diane Kruger, Denis Moschitto, Johannes Krisch, Ulrich Brandhoff, Hanna Hilsdorf, Numan Acar"
Film Stars Don't Die in Liverpool,2017,Paul McGuigan,"Jamie Bell, Annette Bening, Julie Walters, Vanessa Redgrave, Stephen Graham, Leanne Best, James Bloor"
All the Money in the World,2017,Ridley Scott,"Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris, Timothy Hutton, Charlie Plummer, Andrew Buchan"
Phantom Thread,2017,Paul Thomas Anderson,"Daniel Day-Lewis, Vicky Krieps, Lesley Manville"
Molly's Game,2017,Aaron Sorkin,"Jessica Chastain, Idris Elba, Kevin Costner, Michael Cera, Jeremy Strong, Chris O’Dowd, Bill Camp"
Downsizing,2017,Alexander Payne,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig, Rolf Lassgård, Udo Kier, Jason Sudeikis"
"Greatest Showman, The",2017,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya, Rebecca Ferguson, Keala Settle, Sam Humphrey"
Jumanji: Welcome to the Jungle,2017,Jake Kasdan,"Dwayne Johnson, Ser’Darius Blain, Morgan Turner, Madison Iseman, Alex Wolff, Bobby Cannavale, Nick Jonas, Kevin Hart, Karen Gillan, Jack Black, Mason Gussione"
"Angry Birds Movie, The",2016,"Clay Kaytis, Fergal Reilly","Jason Sudeikis, Josh Gad, Danny McBride, Maya Rudolph, Bill Hader, Peter Dinklage, Sean Penn"
Neighbors 2: Sorority Rising,2016,Nicholas Stoller,"Seth Rogen, Rose Byrne, Zac Efron, Chloë Grace Moretz, Kiersey Clemons, Beanie Feldstein, Ike Barinhnoltz, Clara Mamet"
"Nice Guys, The",2016,Shane Black,"Russell Crowe, Ryan Gosling, Angourie Rice, Matt Bomer, Margaret Qualley, Kim Basinger"
Money Monster,2016,Jodie Foster,"George Clooney, Julia Roberts, Jack O’Connell, Dominic West, Caitriona Balfe"
"Bigger Splash, A",2016,Luca Guardagnino,"Matthias Schoenarts, Tilda Swinton, Ralph Fiennes, Dakota Johnson"
Captain America: Civil War,2016,"Anthony Russo, Joe Russo","Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan, Anthony Mackie, Chadwick Boseman, Paul Bettany, Elizabeth Olsen, Paul Rudd, Jeremy Renner, Don Cheadle, Tom Holland, William Hurt, Martin Freeman, Daniel Bruhl, Emily VanCamp"
Green Room,2016,Jeremy Saulnier,"Anton Yelchin, Imogen Poots, Patrick Stewart, Alia Shawkat, Joe Cole, Callum Turner, Mark Webber"
Ratchet &amp; Clank,2016,"Kevin Munroe, Jericca Cleland","James Arnold Taylor, Bella Thorne, Armin Shimerman, Dean Redman, John Goodman, Paul Giamatti, Rosario Dawson, Jim Ward, David Kaye, Sylvester Stallone"
"Huntsman, The: Winter's War",2016,Cedric Nicolas-Troyan,"Chris Hemsworth, Charlize Theron, Jessica Chastain, Emily Blunt, Nick Frost, Rob Brydon, Sheridan Smith, Alexandra Roach"
"Jungle Book, The",2016,Jon Favreau,"Neel Sethi, Ben Kingsley, Baloo, Idris Elba, Lupita Nyong’o, Scarlett Johansson, Christopher Walken, Giancarlo Esposito"
2 Days in Paris,2007,Julie Delpy,"Adam Goldberg, Julie Delpy, Marie Pillet, Albert Delpy"
What Happens in Vegas,2008,Tom Vaughan,"Cameron Diaz, Ashton Kutcher, Rob Corddry, Lake Bell, Jason Sudeikis, Queen Latifa, Dennis Miller"
Slither,2006,James Gunn,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Gregg Henry, Tania Saulnier, Brenda James"
Star Wars: The Clone Wars,2008,Dave Filoni,"(voices) Matt Lanter, James Arnold Taylor, Ashley Eckstein, Tom Kane, Ian Abercrombie, Catherine Taber, Samuel L. Jackson, Christopher Lee"
"Silence of the Lambs, The",1991,Jonathan Demme,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Kasi Lemmons, Frankie Faison, Brooke Smith"
Rob Roy,1995,Michael Caton-Jones,"Liam Neeson, Jessica Lange, John Hurt, Tim Roth, Eric Stoltz, Brian Cox, Andrew Keir"
Poseidon,2006,Wolfgang Petersen,"Josh Lucas, Freddy Rodriguez, Jimmy Bennett, Mia Maestro, Mike Vogel, Emmy Rossum, Jacinda Barrett, Richard Dreyfuss, Kurt Russell, Andre Braugher"
28 Weeks Later,2007,Juan Carlos Fresnadillo,"Robert Carlyle, Rose Byrne, Catherine McCormack, Jeremy Renner, Harold Perrineau, Imogen Poots, Mackintosh Muggleton"
Bonnie and Clyde,,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons"
Snakes on a Plane,2006,David R. Ellis,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard, Flex Alexander, Kenan Thompson, Sunny Mabrey"
Psycho,1998,Gus Van Sant,"Vince Vaughn, Julianne Moore, Viggo Mortensen, William H. Macy, Anne Heche"
"Wedding Planner, The",2001,Adam Shankman,"Jennifer Lopez, Matthew McConaughey, Justin Chambers, Bridgette Wilson-Sampras, Judy Greer"
American Wedding,2003,Jesse Dylan,"Jason Biggs, Deborah Rush, Molly Cheek, Eugene Levy, January Jones, Thomas Ian Nicholas, Eddie Kaye Thomas, Alyson Hannigan, Seann William Scott, Fred Willard"
"Wizard of Oz, The",,Victor Fleming,"Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin, Clara Blandick"
Star Trek: The Motion Picture,1979,Robert Wise,"Stephen Collins, William Shatner, Leonard Nimoy, DeForest Kelley, Persis Khambatta"
Hard Candy,2006,David Slade,"Ellen Page, Patrick Wilson"
Letter from Iwo Jima,2006,Clint Eastwood,"Ken Watanabe, Kazunari Ninomiya, Shido Nakamura, Tsuyoshi Ihara, Ryo Kase"
Up and Down (Horem pádem),,Jan Hrebejk,"Petr Forman, Emília Vásáryová, Jan Triska, Ingrid Timková, Kristýna Boková, Jirí Machácek, Natasa Burger, Jaroslav Dusek"
Liar Liar,1997,Tom Shadyac,"Jim Carrey, Maura Tierney, Justin Cooper, Jennifer Tilley, Cary Elwes, Amanda Donohoe, Swoosie Kurtz"
While You Were Sleeping,1995,Jon Turtletaub,"Sandra Bullock, Bill Pullman, Peter Gallagher, Peter Boyle, Glynis Johns, Jack Warden, Monica Keena"
Zootopia,2016,"Byron Howard, Rich Moore","Ginnifer Goodwin, Jason Bateman, Idris Elba, J.K. Simmons, Jenny Slate, Nate Torrence, Octavia Spencer, Shakira"
Whiskey Tango Foxtrot,2016,"Glenn Ficarra, John Requa","Tina Fey, Margot Robbie, Martin Freeman, Alfred Molina, Christopher Abbott, Billy Bob Thornton"
"Wave, The",2016,Roar Uthaug,"Kristoffer Joner, Thomas Bo Larsen, Ane Dahl Torp, Fridtjov Saheim, Jonas Hoff Oftebro, Arthur Berning, Laila Goody, Edith Haagenrud-Sande"
London Has Fallen,2016,Babak Najafi,"Gerard Butler, Aaron Eckhart, Morgan Freeman, Charlotte Riley, Alon Aboutboul, Waleed Zuaiter, Angela Bassett, Radha Mitchell"
Gods of Egypt,2016,Alex Proyas,"Gerard Butler, Nikolaj Coster-Waldau, Elodie Yung, Brenton Thwaites, Courtney Eaton, Geoffrey Rush, Rufus Sewell, Chadwick Boseman"
Triple 9,2016,John Hillcoat,"Casey Affleck, Chiwetel Ejiofor, Anthony Mackie, Aaron Paul, Norman Reedus, Clifton Collins Jr., Gal Gadot, Woody Harrelson, Kate Winslet"
Eddie the Eagle,2016,Dexter Fletcher,"Taron Egerton, Hugh Jackman, Christopher Walken, Tim McInnerny, Jo Hartley, Keith Allen"
"Witch, The",2016,Robert Eggers,"Anya Taylor-Joy, Ralph Ineson, Kate Dickie, Harvey Scrimshaw, Ellie Grainger, Lucas Dawson"
Race,2016,Stephen Hopkins,"Stephan James, Jason Sudeikis, Jeremy Irons, Carice van Houten, William Hurt, Shanice Banton"
Zoolander 2,2016,Ben Stiller,"Ben Stiller, Owen Wilson, Penelope Cruz, Will Ferrell, Kristen Wiig, Cyrus Arnold, Kyle Mooney"
Criminal,2016,Ariel Vromen,"Kevin Costner, Gal Gadot, Gary Oldman, Jordi Molla, Ryan Reynolds, Tommy Lee Jones, Michael Pitt, Antje Traue"
Demolition,2016,Jean-Marc Vallee,"Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis, Heather Lind"
