name,NetWorth_billions,Country,Source,Rank,Age,Industry,company_founded,company_relationship,company_type,demographics_gender,location_region,wealth_type,wealth_how_category,wealth_how_industry,wealth_how_inherited
Magdalena Martullo-Blocher,7.1,Switzerland,chemicals,358,52,Manufacturing,1936,relation and ceo,aquired,female,Europe,inherited,Traded Sectors,Non-consumer industrial,father
Igor Altushkin,7,Russia,metals,369,50,Metals & Mining,1997,founder,new,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Gustaf Douglas,7,Sweden,investments,369,83,Diversified,1984,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Terry Gou,7,Taiwan,electronics,369,70,Technology,1974,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
"Paul Tudor Jones, II.",7,United States,hedge funds,369,66,Finance & Investments,1980,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Richard Kinder,7,United States,pipelines,369,76,Energy,1997,founder,new,male,North America,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Ludwig Merckle,7,Germany,pharmaceuticals,369,56,Finance & Investments,1881,relation,new,male,Europe,inherited,New Sectors,Technology-Medical,4th generation
Stephen Ross,7,United States,real estate,369,80,Real Estate,1972,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Eli Broad,6.9,United States,investments,380,87,Finance & Investments,1957,founder,new/aquired,male,North America,self-made finance,Financial,Diversified financial,not inherited
Guo Guangchang,6.9,China,conglomerate,380,54,Diversified,1992,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Robert Kraft,6.9,United States,New England Patriots,380,79,Sports,1972,founder,new,male,North America,founder non-finance,0,Other,not inherited
Wee Cho Yaw,6.8,Singapore,banking,384,92,Finance & Investments,1935,relation,new,male,East Asia,inherited,Financial,Money Management,father
Aloys Wobben,6.8,Germany,wind turbines,384,69,Energy,1984,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Micky Arison,6.7,United States,Carnival Cruises,391,71,Service,1972,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Jean-Michel Besnier,6.7,France,cheese,391,53,Food & Beverage,1933,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Marie Besnier Beauvalot,6.7,France,cheese,391,40,Food & Beverage,1933,relation,new,female,Europe,inherited,Traded Sectors,Consumer,father
Fredrik Lundberg,6.7,Sweden,"real estate, investments",391,69,Real Estate,1944,relation,new,male,Europe,inherited,Financial,Real Estate,father
Hiroshi Mikitani,6.7,Japan,online retail,391,56,Fashion & Retail,1997,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Dmitry Rybolovlev,6.7,Russia,fertilizer,391,54,Manufacturing,1930,owner,aquired,male,Europe,executive,Traded Sectors,Consumer,not inherited
Reinhold Schmieding,6.7,United States,medical devices,391,66,Healthcare,1981,founder,new,male,North America,founder non-finance,New Sectors,Technology-Medical,not inherited
Francis Choi,6.6,Hong Kong,real estate,400,73,Real Estate,1972,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Bruce Kovner,6.6,United States,hedge funds,400,76,Finance & Investments,1983,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Wang Wenjing,6.6,China,business software,400,56,Technology,1988,chairman,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Denise Coates,6.5,United Kingdom,online gambling,404,53,Gambling & Casinos,2000,founder,new,female,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
James Goodnight,6.5,United States,software,404,78,Technology,1976,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Antti Herlin,6.5,Finland,"elevators, escalators",404,64,Manufacturing,1910,relation,aquired,male,Europe,inherited,Traded Sectors,Non-consumer industrial,4th generation
Liu Yongxing,6.5,China,diversified,404,72,Service,1982,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Sri Prakash Lohia,6.5,Indonesia,petrochemicals,404,68,Manufacturing,1973,founder,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Prajogo Pangestu,6.5,Indonesia,petrochemicals,404,76,Diversified,1977,founder,new,male,East Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Horst Julius Pudwill,6.5,Germany,manufacturing,404,76,Manufacturing,1985,founder,new,male,Europe,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Ronda Stryker,6.5,United States,medical equipment,404,66,Healthcare,1941,relation,new,female,North America,inherited,New Sectors,Technology-Medical,3rd generation
Pauline MacMillan Keinath,6.4,United States,Cargill,418,87,Food & Beverage,1865,relation,new,female,North America,inherited,Financial,Money Management,3rd generation
Dennis Washington,6.4,United States,"construction, mining",418,86,Logistics,1964,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Rahul Bajaj,6.3,India,diversified,421,82,Diversified,1926,relation,new,male,South Asia,inherited,Traded Sectors,Consumer,3rd generation
Andreas Halvorsen,6.3,Norway,hedge funds,421,59,Finance & Investments,1999,founder and ceo,new,male,Europe,self-made finance,Financial,Hedge funds,not inherited
Andrei Kozitsyn,6.3,Russia,metals,421,60,Metals & Mining,1935,president,privatization,male,Europe,privatized and resources,Resource Related,Mining and metals,not inherited
Axel Oberwelland,6.3,Germany,candy,421,54,Food & Beverage,1903,relation,new,male,Europe,inherited,Traded Sectors,Consumer,4th generation
Shi Yuzhu,6.3,China,"online games, investments",421,58,Diversified,2005,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Murat Ulker,6.3,Turkey,food,421,62,Food & Beverage,1944,relation,new,male,Middle East/North Africa,inherited,Traded Sectors,Consumer,father
Arthur Blank,6.2,United States,Home Depot,432,78,Sports,1979,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Jiang Bin,6.2,China,acoustic components,432,54,Technology,2001,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Mitchell Rales,6.2,United States,"manufacturing, investments",432,64,Manufacturing,1969,founder,new,male,North America,founder non-finance,Traded Sectors,Technology-Medical,not inherited
Mike Adenuga,6.1,Nigeria,"telecom, oil",440,67,Diversified,1990,founder,new,male,Sub-Saharan Africa,privatized and resources,Non-Traded Sectors,Media,not inherited
Huang Li,6.1,China,imaging systems,440,57,Technology,1999,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Law Kar Po,6.1,Hong Kong,real estate,440,72,Real Estate,1961,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Idan Ofer,6.1,Israel,"drilling, shipping",440,65,Diversified,1950,relation,new,male,Middle East/North Africa,inherited,Resource Related,Energy,father
Henry Samueli,6.1,United States,semiconductors,440,66,Technology,1991,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Dannine Avara,6,United States,pipelines,451,57,Energy,1968,relation,new,female,North America,inherited,Traded Sectors,Non-consumer industrial,father
Dulce Pugliese de Godoy Bueno,6,Brazil,"hospitals, health care",451,73,Healthcare,1972,founder,new,female,Latin America,founder non-finance,Financial,Real Estate,not inherited
Scott Duncan,6,United States,pipelines,451,38,Energy,1968,relation,new,male,North America,inherited,Traded Sectors,Non-consumer industrial,father
Judy Faulkner,6,United States,health IT,451,77,Technology,1979,founder,new,female,North America,founder non-finance,New Sectors,Technology-Medical,not inherited
Milane Frantz,6,United States,pipelines,451,51,Energy,1968,relation,new,female,North America,inherited,Traded Sectors,Non-consumer industrial,father
Frits Goldschmeding,6,Netherlands,temp agency,451,87,Service,1960,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Jane Lauder,6,United States,Estée Lauder,451,48,Fashion & Retail,1946,relation,new,female,North America,inherited,Traded Sectors,Consumer,3rd generation
Isaac Perlmutter,6,United States,Marvel comics,451,78,Media & Entertainment,1998,CEO,aquired,male,North America,executive,Non-Traded Sectors,Media,not inherited
Ronald Wanek,6,United States,furniture,451,79,Manufacturing,1970,founder,aquired,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Hansjoerg Wyss,6,Switzerland,medical devices,451,86,Healthcare,1974,founder/CEO,new division,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Chen Fashu,5.9,China,investments,472,60,Finance & Investments,2000,investor,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Christopher Hohn,5.9,United Kingdom,hedge funds,472,54,Finance & Investments,2003,founder,new,male,Europe,self-made finance,Financial,Hedge funds,not inherited
George Kaiser,5.8,United States,"oil & gas, banking",476,78,Energy,1940,relation,new,male,North America,inherited,Resource Related,Energy,father
Ananda Krishnan,5.8,Malaysia,"telecoms, media, oil-services",476,83,Telecom,1984,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,Media,not inherited
Augusto & Giorgio Perfetti,5.8,Italy,candy,476,,Food & Beverage,1946,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Meg Whitman,5.8,United States,eBay,476,64,Technology,1935,president and ceo,new,female,North America,executive,New Sectors,Technology-Computer,not inherited
Neil Bluhm,5.7,United States,real estate,486,83,Real Estate,1969,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Tom Gores,5.7,United States,private equity,486,56,Finance & Investments,1995,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Michael Moritz,5.7,United States,venture capital,486,66,Technology,1972,partner,new,male,North America,self-made finance,Financial,Venture Capital,not inherited
Nicolas Puech,5.7,France,Hermes,486,78,Fashion & Retail,1837,relation,new,male,Europe,inherited,Traded Sectors,Consumer,5th generation or longer
Teh Hong Piow,5.7,Malaysia,banking,486,91,Finance & Investments,1966,founder,new,male,East Asia,self-made finance,Financial,Money Management,not inherited
Jack Dangermond,5.6,United States,mapping software,496,75,Technology,1969,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Stanley Druckenmiller,5.6,United States,hedge funds,496,67,Finance & Investments,1981,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Tamara Gustavson,5.6,United States,self storage,496,59,Service,1972,relation,new,female,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Kwee brothers,5.6,Singapore,Real Estate,496,,Real Estate,1961,relation,new,male,East Asia,inherited,Financial,Real Estate,father
Clive Calder,5.5,United Kingdom,record label,502,74,Media & Entertainment,1975,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Media,not inherited
Ken Fisher,5.5,United States,money management,502,70,Finance & Investments,1979,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Ivan Glasenberg,5.5,Switzerland,mining,502,64,Metals & Mining,1974,CEO,new,male,North America,privatized and resources,Resource Related,Mining and metals,not inherited
Karel Komarek,5.5,Czechia,"oil and gas, IT, lotteries",502,52,Gambling & Casinos,1995,founder,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Ronald Lauder,5.5,United States,Estee Lauder,502,77,Fashion & Retail,1946,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
J. Christopher Reyes,5.5,United States,food distribution,502,67,Food & Beverage,1976,ceo,aquired,male,North America,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Jude Reyes,5.5,United States,food distribution,502,65,Food & Beverage,1976,ceo,aquired,male,North America,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Kjell Inge Rokke,5.5,Norway,"shipping, seafood",502,62,Logistics,1841,owner,aquired,male,Europe,executive,0,Other,not inherited
"Edward Roski, Jr.",5.5,United States,real estate,502,82,Real Estate,1948,relation,new,male,North America,inherited,Financial,Real Estate,father
An Kang,5.4,China,pharmaceuticals,520,72,Healthcare,1992,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
"Henry Nicholas, III.",5.4,United States,semiconductors,520,61,Technology,1991,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Terrence Pegula,5.4,United States,natural gas,520,70,Energy,1983,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Harry Stine,5.4,United States,agriculture,520,79,Food & Beverage,1965,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Pyotr Aven,5.3,Russia,"oil, banking, telecom",529,66,Finance & Investments,1989,chairman of the board,new,male,Europe,privatized and resources,Resource Related,Energy,not inherited
Barry Lam,5.3,Taiwan,electronics,529,71,Technology,1988,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Carlos Rodriguez-Pastor,5.3,Peru,finance,529,61,Finance & Investments,1994,owner,privatization,male,Latin America,privatized and resources,Financial,Money Management,not inherited
Shen Guojun,5.3,China,retail,529,58,Fashion & Retail,1988,chairman,new,male,East Asia,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Sam Zell,5.3,United States,"real estate, private equity",529,79,Real Estate,1968,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
John Brown,5.2,United States,medical equipment,539,86,Healthcare,1941,Chairman,new,male,North America,executive,New Sectors,Technology-Medical,not inherited
Frank Lowy,5.2,Australia,shopping malls,539,90,Real Estate,1960,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Joe Mansueto,5.2,United States,investment research,539,64,Finance & Investments,1984,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Akio Nitori,5.2,Japan,home furnishings,539,77,Fashion & Retail,1967,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Teddy Sagi,5.2,Israel,gambling software,539,49,Gambling & Casinos,1999,founder,new,male,Middle East/North Africa,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Wong Man Li,5.2,Hong Kong,furniture,539,56,Manufacturing,1992,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Robert Bass,5.1,United States,"oil, investments",550,73,Energy,1919,relation,new,male,North America,inherited,Resource Related,Energy,father
Michael Herz,5.1,Germany,coffee,550,77,Fashion & Retail,1949,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Wolfgang Herz,5.1,Germany,coffee,550,70,Fashion & Retail,1949,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Patrick Lee,5.1,Hong Kong,paper,550,79,Manufacturing,1994,founder,new,male,East Asia,founder non-finance,Traded Sectors,Consumer,not inherited
Theo Mueller,5.1,Germany,dairy,550,81,Food & Beverage,1896,relation,new,male,Europe,executive,Traded Sectors,Consumer,not inherited
Bernard Broermann,5,Germany,hospitals,561,77,Healthcare,1984,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Medical,not inherited
Jason Chang,5,Singapore,electronics,561,76,Technology,1984,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Joshua Harris,5,United States,private equity,561,56,Finance & Investments,1990,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Pankaj Patel,5,India,pharmaceuticals,561,68,Healthcare,1952,relation,new,male,South Asia,inherited,New Sectors,Technology-Medical,father
Charles Simonyi,5,United States,Microsoft,561,72,Technology,1975,head of Microsoft's application software group,new,male,North America,executive,New Sectors,Technology-Computer,not inherited
Daniel Ziff,5,United States,investments,561,49,Finance & Investments,1927,relation,new,male,North America,inherited,Financial,Diversified financial,3rd generation
Dirk Ziff,5,United States,investments,561,57,Finance & Investments,1928,relation,new,male,North America,inherited,Financial,Diversified financial,3rd generation
Robert Ziff,5,United States,investments,561,54,Finance & Investments,1928,relation,new,male,North America,inherited,Financial,Diversified financial,3rd generation
Stephen Bisciotti,4.9,United States,"staffing, Baltimore Ravens",574,60,Sports,1983,founder,new,male,North America,founder non-finance,0,Other,not inherited
Marc Ladreit de Lacharriere,4.9,France,finance,574,80,Finance & Investments,1991,founder and CEO,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Joe Lewis,4.9,United Kingdom,investments,574,84,Finance & Investments,1975,founder,new,male,Europe,self-made finance,,Diversified financial,not inherited
Lin Li,4.9,China,investments,574,57,Finance & Investments,1995,founder,new,male,East Asia,self-made finance,Financial,Diversified financial,not inherited
Karen Pritzker,4.9,United States,"hotels, investments",574,63,Finance & Investments,1957,relation,aquired,female,North America,inherited,Financial,Real Estate,father
Abdulsamad Rabiu,4.9,Nigeria,"cement, sugar",574,60,Diversified,1988,founder,new,male,Sub-Saharan Africa,founder non-finance,Traded Sectors,Consumer,not inherited
Howard Schultz,4.9,United States,Starbucks,574,67,Food & Beverage,1971,Chairman and Chief Executive Officer,new,male,North America,executive,Traded Sectors,Consumer,not inherited
Yasumitsu Shigeta,4.9,Japan,mobile phone retailer,574,56,Telecom,1988,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,Media,not inherited
Thomas Siebel,4.9,United States,business software,574,68,Technology,1993,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Peter Thiel,4.9,United States,Facebook,574,53,Finance & Investments,1998,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Chip Wilson,4.9,Canada,Lululemon,574,64,Fashion & Retail,1998,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Richard Branson,4.8,United Kingdom,Virgin,589,70,Diversified,1972,founder,new,male,Europe,founder non-finance,Non-Traded Sectors,Media,not inherited
Huang Yi,4.8,Hong Kong,car dealerships,589,59,Automotive,1998,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Bidzina Ivanishvili,4.8,Georgia,investments,589,65,Finance & Investments,1990,founder,new,male,Europe,privatized and resources,Financial,Diversified financial,not inherited
Yuri Milner,4.8,Israel,tech investments,589,59,Finance & Investments,1999,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
Thomas Schmidheiny,4.8,Switzerland,cement,589,75,Construction & Engineering,1912,relation,new,male,Europe,inherited,Non-Traded Sectors,Constrution,4th generation
Chairul Tanjung,4.8,Indonesia,diversified,589,58,Diversified,1987,founder,new,male,East Asia,privatized and resources,Financial,Diversified financial,not inherited
Radovan Vitek,4.8,Czechia,real estate,589,49,Real Estate,1997,founder,aquired,male,Europe,self-made finance,Financial,Real Estate,not inherited
M.A. Yusuff Ali,4.8,India,retail,589,65,Fashion & Retail,1973,relation,new,male,South Asia,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Nathan Kirsh,4.7,Eswatini (Swaziland),"retail, real estate",608,89,Fashion & Retail,1990,investor,aquired,male,Sub-Saharan Africa,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Michael Pieper,4.7,Switzerland,kitchen appliances,608,75,Manufacturing,1911,relation,aquired,male,Europe,inherited,Traded Sectors,Consumer,father
Richard Schulze,4.7,United States,Best Buy,608,80,Fashion & Retail,1966,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Oleg Tinkov,4.7,Russia,banking,608,53,Finance & Investments,1990,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Wong Luen Hei,4.7,China,building materials,608,59,Manufacturing,1996,founder,new,male,East Asia,founder non-finance,Traded Sectors,Non-consumer industrial,not inherited
Patrizio Bertelli,4.6,Italy,luxury goods,622,75,Fashion & Retail,1913,relation,new,male,Europe,inherited,Traded Sectors,Consumer,father
Martin & Olivier Bouygues,4.6,France,"construction, media",622,,Construction & Engineering,1952,relation,new,male,Europe,inherited,Non-Traded Sectors,Constrution,father
Chen Lip Keong,4.6,Malaysia,"casinos, property, energy",622,73,Gambling & Casinos,1995,founder,new,male,East Asia,privatized and resources,Financial,Real Estate,not inherited
Tilman Fertitta,4.6,United States,"Houston Rockets, entertainment",622,63,Food & Beverage,1980,founder,aquired,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Vladimir Kim,4.6,Kazakhstan,mining,622,60,Metals & Mining,1930,investor,privatization,male,South Asia,privatized and resources,Resource Related,Mining and metals,not inherited
Denis O'Brien,4.6,Ireland,telecom,622,62,Telecom,1997,founder,new,male,Europe,privatized and resources,Non-Traded Sectors,Media,not inherited
Miuccia Prada,4.6,Italy,luxury goods,622,71,Fashion & Retail,1913,relation,new,female,Europe,inherited,Traded Sectors,Consumer,father
"Robert Rich, Jr.",4.6,United States,frozen foods,622,80,Food & Beverage,1945,relation,new,male,North America,inherited,Traded Sectors,Consumer,father
Ron Baron,4.5,United States,money management,638,77,Finance & Investments,1982,founder,new,male,North America,self-made finance,Financial,Money Management,not inherited
Andre Esteves,4.5,Brazil,banking,638,52,Finance & Investments,2008,founder,new,male,Latin America,self-made finance,Financial,Money Management,not inherited
Jonathan Gray,4.5,United States,investments,638,51,Finance & Investments,1985,Global Head of Real Estate,new,male,North America,self-made finance,Financial,Other,not inherited
Richard Li,4.5,Hong Kong,telecom,638,54,Telecom,1971,relation,new,male,East Asia,inherited,Non-Traded Sectors,Media,father
Igor Olenicoff,4.5,United States,real estate,638,78,Real Estate,1973,founder,new,male,North America,self-made finance,Financial,Real Estate,not inherited
Sergei Popov,4.5,Russia,banking,638,49,Finance & Investments,1996,founder/vice chairman,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Thomas Pritzker,4.5,United States,"hotels, investments",638,70,Finance & Investments,1957,relation,aquired,male,North America,inherited,Financial,Real Estate,father
"Julian Robertson, Jr.",4.5,United States,hedge funds,638,88,Finance & Investments,1980,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Shari Arison,4.4,Israel,Carnival Cruises,655,63,Service,1972,relation,new,female,Middle East/North Africa,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Mark Cuban,4.4,United States,"online media, Dallas Mavericks",655,62,Media & Entertainment,1995,founder,new,male,North America,founder non-finance,Non-Traded Sectors,Media,not inherited
Erman Ilicak,4.4,Turkey,construction,655,53,Construction & Engineering,1994,founder,new,male,Middle East/North Africa,founder non-finance,Non-Traded Sectors,Constrution,not inherited
Ralph Dommermuth,4.3,Germany,internet service provider,665,57,Technology,1988,founder,new,male,Europe,founder non-finance,New Sectors,Technology-Computer,not inherited
Pansy Ho,4.3,Hong Kong,casinos,665,58,Gambling & Casinos,1962,relation,new,female,East Asia,inherited,Financial,Real Estate,father
Rakesh Jhunjhunwala,4.3,India,investments,665,60,Finance & Investments,1968,investor,new,male,South Asia,self-made finance,Financial,Other,not inherited
Eric Lefkofsky,4.3,United States,Groupon,665,51,Technology,2008,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Edwin Leong,4.3,Hong Kong,real estate,665,69,Real Estate,1977,founder,new,male,East Asia,self-made finance,Financial,Real Estate,not inherited
Paul Singer,4.3,United States,hedge funds,665,76,Finance & Investments,1977,founder,new,male,North America,self-made finance,Financial,Hedge funds,not inherited
Kerry Stokes,4.3,Australia,"construction equipment, media",665,80,Diversified,1958,investor,aquired,male,North America,executive,Non-Traded Sectors,Media,not inherited
Steven Udvar-Hazy,4.3,United States,aircraft leasing,665,75,Service,1973,founder,new,male,North America,founder non-finance,0,Other,not inherited
Takao Yasuda,4.3,Japan,retail,665,71,Fashion & Retail,1980,Chairman and Chief Executive Officer,new,male,East Asia,executive,Non-Traded Sectors,"Retail, Restaurant",not inherited
Alain Bouchard,4.2,Canada,retail,680,72,Fashion & Retail,1980,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Scott Cook,4.2,United States,software,680,68,Technology,1983,founder,new,male,North America,founder non-finance,New Sectors,Technology-Computer,not inherited
Barry Diller,4.2,United States,online media,680,79,Media & Entertainment,1986,Chairman and Chief Executive Officer,new,male,North America,executive,Non-Traded Sectors,Media,not inherited
Fang Wei,4.2,China,steel,680,47,Manufacturing,2002,chairman,new,male,East Asia,privatized and resources,Traded Sectors,Non-consumer industrial,not inherited
Tom Golisano,4.2,United States,payroll services,680,79,Service,1971,founder,new,male,North America,founder non-finance,0,Other,not inherited
Peter Hargreaves,4.2,United Kingdom,financial services,680,74,Finance & Investments,1981,founder,new,male,Europe,self-made finance,Financial,Money Management,not inherited
Bertil Hult,4.2,Sweden,education,680,80,Service,1977,founder,new,male,Europe,founder non-finance,0,Other,not inherited
Ray Lee Hunt,4.2,United States,"oil, real estate",680,78,Energy,1934,relation,new,male,North America,inherited,Resource Related,Energy,father
James Irving,4.2,Canada,diversified,680,93,Diversified,1882,relation,new,male,North America,inherited,Financial,Diversified financial,3rd generation
Li Li,4.2,China,healthcare,680,55,Healthcare,1998,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Li Li,1.6,China,pharmaceuticals,1931,57,Healthcare,1998,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Juan Roig,4.2,Spain,supermarkets,680,71,Fashion & Retail,1977,relation,new,male,Europe,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Leonard Stern,4.2,United States,real estate,680,83,Real Estate,1926,relation,new,male,North America,inherited,Financial,Real Estate,father
Thomas Straumann,4.2,Switzerland,dental implants,680,57,Healthcare,1954,relation,new,male,Europe,inherited,Traded Sectors,Consumer,3rd generation
David Bonderman,4.1,United States,private equity,705,78,Finance & Investments,1992,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Cho Tak Wong,4.1,Hong Kong,auto parts,705,74,Manufacturing,1987,CEO,new,male,East Asia,executive,Traded Sectors,Consumer,not inherited
Dan Friedkin,4.1,United States,Toyota dealerships,705,56,Automotive,1969,relation,new,male,North America,inherited,Non-Traded Sectors,"Retail, Restaurant",father
Martin Haefner,4.1,Switzerland,"software, investments",705,67,Technology,1976,relation,new,male,Europe,inherited,New Sectors,Technology-Computer,father
"Rupert Johnson, Jr.",4.1,United States,money management,705,80,Finance & Investments,1947,relation,new,male,North America,inherited,Financial,Money Management,father
John Morris,4.1,United States,sporting goods retail,705,73,Fashion & Retail,1972,founder,new,male,North America,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Gabe Newell,4.1,United States,videogames,705,58,Gambling & Casinos,1996,founder,new,male,North America,founder non-finance,Traded Sectors,Consumer,not inherited
Jon Stryker,4.1,United States,medical equipment,705,62,Healthcare,1941,relation,new,male,North America,inherited,New Sectors,Technology-Medical,3rd generation
Xu Jingren,4.1,China,pharmaceuticals,705,76,Healthcare,1971,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Samuel Yin,4.1,Taiwan,retail,705,70,Diversified,0,,,male,East Asia,,Financial,Diversified financial,not inherited
Masatoshi Ito,4,Japan,retail,727,96,Fashion & Retail,1961,founder,new,male,East Asia,founder non-finance,Non-Traded Sectors,"Retail, Restaurant",not inherited
Igor Kesaev,4,Russia,"tobacco distribution, retail",727,54,Fashion & Retail,1991,founder,new,male,Europe,privatized and resources,Non-Traded Sectors,"Retail, Restaurant",not inherited
Gwendolyn Sontheim Meyer,4,United States,Cargill,727,59,Food & Beverage,1865,relation,new,female,North America,inherited,Financial,Money Management,3rd generation
Ajay Piramal,4,India,pharmaceuticals,727,65,Healthcare,1984,founder,aquired,male,South Asia,founder non-finance,New Sectors,Technology-Medical,not inherited
Trevor Rees-Jones,4,United States,oil & gas,727,69,Energy,1994,founder,new,male,North America,privatized and resources,Resource Related,Energy,not inherited
Ira Rennert,4,United States,investments,727,86,Finance & Investments,1975,founder,new,male,North America,self-made finance,Financial,Diversified financial,not inherited
Marc Rowan,4,United States,private equity,727,58,Finance & Investments,1990,founder,new,male,North America,self-made finance,Financial,Private equity/leveraged buyout,not inherited
Michal Solowow,4,Poland,investments,727,58,Finance & Investments,1945,investor,aquired,male,Europe,self-made finance,Financial,Diversified financial,not inherited
Zhou Hongyi,4,China,security software,727,50,Technology,2005,founder,new,male,East Asia,founder non-finance,New Sectors,Technology-Computer,not inherited
Jeff Greene,3.9,United States,"real estate, investments",752,66,Real Estate,0,founder,,male,North America,self-made finance,Financial,Real Estate,not inherited
