Name,Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,0.17,0.13,0.51,0.04
Ghostbusters: The Video Game,PS2,2009,Action,0.15,0.04,0,0.24
DuckTales: Remastered,PS3,2013,Action,0.01,0.04,0,0.01
Harry Potter and the Chamber of Secrets,PS,2002,Action,0.75,1.09,0.02,0.12
Barbie: Race & Ride,PS,1999,Action,0.33,0.22,0,0.04
Mystic Heroes,PS2,2002,Action,0.03,0.02,0,0.01
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,PS3,2012,Action,0,0,0.06,0
Spider-Man 2,DS,2004,Action,0.41,0.02,0.03,0.04
LEGO Indiana Jones: The Original Adventures,PS3,2008,Action,0.44,0.44,0,0.18
Grand Theft Auto III,PS2,2001,Action,6.99,4.51,0.3,1.3
Power Rangers: Super Legends,DS,2007,Action,0.08,0.03,0,0.01
Kikou Heidan J-Phoenix,PS2,2001,Action,0,0,0.06,0
Rudolph the Red-Nosed Reindeer,DS,2010,Action,0.15,0,0,0.01
Metal Fight Beyblade,DS,2009,Action,0,0,0.09,0
Samurai Warriors 2,PS3,2013,Action,0,0,0.03,0
Fade to Black,PS,1996,Action,0.19,0.13,0,0.02
Resident Evil,PS,1996,Action,2.05,1.16,1.11,0.73
Rampage 2: Universal Tour,PS,1998,Action,0.13,0.09,0,0.01
Tenka-bito,PS2,2006,Strategy,0,0,0.03,0
Black Cat,PS2,2006,Action,0,0,0.01,0
Metal Fight Beyblade: Choujou Kessen! Big Bang Bladers,DS,2010,Action,0,0,0.02,0
Busou Renkin: Youkoso Papillon Park e,PS2,2007,Action,0,0,0.02,0
The Scorpion King: Rise of the Akkadian,PS2,2002,Action,0.11,0.09,0,0.03
Def Jam Icon,PS3,2007,Action,0.16,0.19,0,0.08
Pirates PlundArrr,Wii,2010,Action,0.02,0,0,0
Casper: Friends Around the World,PS,2000,Action,0.1,0.07,0,0.01
Samurai Warriors: Xtreme Legends,PS2,2004,Action,0.04,0.03,0.36,0.01
Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu,DS,2010,Strategy,0,0,0.27,0
Mister Slime,DS,2008,Action,0.05,0,0,0
Disney's Aladdin in Nasira's Revenge,PS,2000,Action,0.05,0.04,0,0.01
Playmobil Pirates,DS,2009,Action,0.08,0,0,0.01
Cats & Dogs: The Revenge of Kitty Galore,DS,2010,Action,0.1,0,0,0.01
Dynasty Warriors 7: Xtreme Legends,PS3,2011,Action,0.04,0.05,0.16,0.02
Pirates of the Caribbean: At World's End,DS,2007,Action,0.3,0.01,0.01,0.03
Lego Batman 3: Beyond Gotham,PS3,2014,Action,0.33,0.35,0,0.13
FlingSmash,Wii,2010,Action,0.38,0.01,0.07,0.02
Family Guy: Back to the Multiverse,PS3,2012,Action,0.12,0.12,0,0.05
Medieval Moves: Deadmund's Quest,PS3,2011,Action,0.13,0.12,0,0.05
OverBlood 2,PS,1998,Action,0,0,0.06,0
Thrillville: Off the Rails,PS2,2007,Strategy,0.2,0.16,0,0.05
Uprising X,PS,1998,Action,0.04,0.03,0,0
Watchmen: The End is Nigh - The Complete Experience,PS3,2009,Action,0.08,0.07,0,0.02
Iron Man 2,DS,2010,Action,0.15,0.16,0,0.03
Naruto: Uzumaki Chronicles 2,PS2,2006,Action,0.28,0.22,0,0.07
Sorcery,PS3,2012,Action,0.14,0.12,0,0.05
Terminator 3: Rise of the Machines,PS2,2003,Action,0.28,0.22,0,0.07
Kung Fu Panda: Legendary Warriors,DS,2008,Action,0.02,0,0,0
Spy Fiction,PS2,2003,Action,0.02,0.02,0,0.01
Tenchu 2: Birth of the Stealth Assassins,PS,2000,Action,0.32,0.22,0,0.04
NBA 2K6,PS2,2005,Action,0.43,0.34,0,0.11
Animorphs: Shattered Reality,PS,2000,Action,0.03,0.02,0,0
Deep Labyrinth,DS,2006,Action,0.06,0,0,0
SD Gundam: Gashapon Wars,Wii,2010,Strategy,0,0,0.03,0
Resident Evil: Deadly Silence,DS,2006,Action,0.12,0.03,0.11,0.01
The Cursed Crusade,PS3,2011,Action,0.07,0.07,0.01,0.03
G-Police,PS,1997,Action,0.13,0.09,0,0.02
Thrillville,PS2,2006,Strategy,0.55,0.02,0,0.09
Playmobil Circus,Wii,2009,Action,0.06,0.02,0,0.01
Saint Seiya: Sanctuary Battle,PS3,2011,Action,0,0.09,0.11,0.03
Astro Boy: The Video Game,DS,2009,Action,0.09,0,0,0.01
No More Heroes: Red Zone,PS3,2011,Action,0,0,0.09,0
Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,2012,Action,0,0,0.03,0
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,0,0,0.13,0
Simple DS Series Vol. 41: The Bakudan Shori-Han,DS,2008,Action,0,0,0.01,0
God Hand,PS2,2006,Action,0,0,0.07,0
Tomb Raider: The Last Revelation,PS,1998,Action,1.15,1.14,0.06,0.13
Teenage Mutant Ninja Turtles,PS2,2003,Action,0.45,0.35,0,0.12
X-Blades,PS3,2009,Action,0.07,0.03,0.02,0.02
Warriors Orochi 3,PS3,2011,Action,0,0.04,0.57,0.01
Resident Evil: Dead Aim,PS2,2003,Action,0.17,0.13,0,0.04
God of War: Origins Collection,PS3,2011,Action,0.39,0.08,0.02,0.06
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,0.02,0.02,0,0.01
Warhammer: Dark Omen,PS,1998,Strategy,0.02,0.01,0,0
Fatal Frame,PS2,2001,Action,0.07,0.06,0,0.02
Transformers: War for Cybertron -- Decepticons,DS,2010,Action,0.11,0.01,0,0.01
Romance of the Three Kingdoms IV: Wall of Fire,PS,1995,Strategy,0.05,0.03,0.04,0.01
Metroid: Other M,Wii,2010,Action,0.87,0.31,0.13,0.1
Castlevania: Lament of Innocence,PS2,2003,Action,0.46,0.36,0,0.12
Crazy Chicken Tales,Wii,2009,Action,0.06,0,0,0
Future Tactics: The Uprising,PS2,2004,Strategy,0.03,0.03,0,0.01
"Go, Diego, Go!: Great Dinosaur Rescue",PS2,2008,Action,0.16,0.12,0,0.04
The Incredible Hulk,Wii,2008,Action,0.28,0.01,0,0.02
Avatar: The Game,Wii,2009,Action,0.33,0.32,0,0.08
Ghostbusters: The Video Game,PS3,2009,Action,0.34,0.37,0,0.15
Mega Man X4,PS,1996,Action,0.45,0.3,0.22,0.07
Vanguard Bandits,PS,1998,Strategy,0.04,0.03,0,0
Silverlicious,DS,2012,Action,0.03,0,0,0
Nacho Libre,DS,2006,Action,0.03,0,0,0
Space Battleship Yamato: Harukanaru Hoshi Iscandar,PS,1999,Strategy,0,0,0.16,0.01
Manhunt,PS2,2003,Action,0.63,0.49,0,0.16
Metal Gear Solid 2: Substance,PS2,2002,Action,0.18,0.14,0.16,0.05
Samurai Jack: The Shadow of Aku,PS2,2004,Action,0.03,0.02,0,0.01
Jewel Quest 5: The Sleepless Star,DS,2012,Action,0,0.02,0,0
Spider-Man: Edge of Time,Wii,2011,Action,0.06,0.02,0,0.01
Prince of Persia: The Sands of Time,PS2,2003,Action,0.88,1.03,0,0.31
Nobunaga no Yabou: Tendou with Power-Up Kit,PS3,2011,Strategy,0,0,0.07,0
Tokyo Beat Down,DS,2008,Action,0.07,0,0,0.01
Harry Potter and the Sorcerer's Stone,PS2,2003,Action,0.14,0.11,0,0.04
Dante's Inferno,PS3,2010,Action,0.64,0.28,0.04,0.13
Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui V,PS2,2009,Strategy,0,0,0.07,0
Big Idea's VeggieTales: LarryBoy and the Bad Apple,PS2,2006,Action,0.01,0.01,0,0
Candace Kane's Candy Factory,Wii,2008,Action,0.14,0,0,0.01
Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,0.15,0.03,0,0.01
Twisted Metal: Small Brawl,PS,,Action,0.1,0.07,0,0.01
Perfect Weapon,PS,1996,Action,0.13,0.09,0,0.02
Disney's The Lion King: Simba's Mighty Adventure,PS,2000,Action,0.08,0.06,0,0.01
Dynasty Warriors DS: Fighter's Battle,DS,2007,Action,0.04,0,0.03,0
Resident Evil 3: Nemesis,PS,1999,Action,1.3,0.77,1.54,0.11
Nobunaga no Yabou DS,DS,2006,Strategy,0,0,0.01,0
Top Spin 3,PS3,2008,Action,0.08,0.37,0,0.12
Harry Potter and the Deathly Hallows - Part 1,PS3,2010,Action,0.13,0.21,0,0.08
Bayonetta,PS3,2009,Action,0.44,0.41,0.21,0.17
Ratchet & Clank Collection,PS3,2012,Action,0.47,0.14,0.02,0.09
Okami,Wii,2008,Action,0.45,0.1,0.04,0.05
Kamiwaza,PS2,2006,Action,0,0,0.05,0
Soul Reaver 2,PS2,2001,Action,0.27,0.21,0,0.07
Playmobil Knights,DS,2009,Action,0.04,0.01,0,0
Skylanders: Trap Team,Wii,2014,Action,0.42,0.54,0,0.08
LEGO Indiana Jones: The Original Adventures,DS,2008,Action,1.42,0.61,0,0.21
From Russia With Love,PS2,2005,Action,0.34,0.01,0,0.06
Rango: The Video Game,PS3,2011,Action,0.07,0.09,0,0.04
Devil May Cry 4,PS3,2008,Action,0.58,0.46,0.34,0.21
Grudge Warriors,PS,1999,Action,0.23,0.16,0,0.03
Power Shovel,PS,2000,Action,0.03,0.02,0,0
Genji: Dawn of the Samurai,PS2,2005,Action,0.11,0.09,0,0.03
Metal Gear Solid V: The Phantom Pain,PS3,2015,Action,0.21,0.18,0.22,0.08
Disaster: Day of Crisis,Wii,2008,Action,0,0.03,0.04,0
Devil May Cry 2,PS2,2003,Action,0.71,0.58,0.51,0.17
Onimusha Essentials,PS2,2008,Action,0.07,0.05,0,0.02
Toy Story 3: The Video Game,DS,2010,Action,0.93,0.97,0.02,0.21
Remember Me,PS3,2013,Action,0.1,0.18,0,0.07
World Destruction League: Thunder Tanks,PS,2000,Action,0.09,0.06,0,0.01
Front Mission 3,PS,1999,Strategy,0.1,0.07,0.31,0.03
Ben 10: Alien Force,Wii,2008,Action,0.52,0.21,0,0.07
Tenchu: Shadow Assassins,Wii,2008,Action,0.16,0.01,0.03,0.02
The Spiderwick Chronicles,Wii,2008,Action,0.17,0.01,0,0.01
Yakuza Zero: The Place of Oath,PS3,2015,Action,0,0,0.25,0
Avatar: The Last Airbender - The Burning Earth,Wii,2007,Action,0.24,0,0,0.02
Machi-ing Maker 4,PS3,2011,Strategy,0,0,0.02,0
One Piece: Pirate Warriors 2,PS3,2013,Action,0,0.2,0.42,0.07
Sega Ages 2500 Series Vol. 26: Dynamite Deka,PS2,2006,Action,0,0,0.02,0
Star Wars: The Force Unleashed II,Wii,2010,Action,0.54,0.19,0,0.06
Yakuza,PS3,2012,Action,0,0,0.11,0
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,2004,Action,0.52,0.56,0,0.17
Pac-Man World,PS,1998,Action,1.21,0.14,0.1,0.04
Populous: The Beginning,PS,1998,Strategy,0.05,0.04,0,0.01
Power Rangers Samurai,DS,2011,Action,0.27,0.04,0,0.02
LEGO Indiana Jones 2: The Adventure Continues,DS,2009,Action,0.66,0.43,0,0.12
Little King's Story,Wii,2009,Strategy,0.15,0.11,0.02,0.02
Duel Masters,PS2,2004,Strategy,0.13,0.1,0,0.03
Bakugan Battle Brawlers: Defenders of the Core,PS3,2010,Action,0.14,0.01,0,0.02
Kikou Heidan J-Phoenix: Cobalt Shoutaihen,PS2,2002,Action,0,0,0.02,0
Go Diego Go! Great Dinosaur Rescue,Wii,2008,Action,0.53,0.02,0,0.04
Chaotic: Shadow Warriors,PS3,2009,Action,0.15,0,0,0.01
King Arthur,PS2,2004,Action,0.07,0.05,0,0.02
Assault: Retribution,PS,1998,Action,0.07,0.05,0,0.01
inFAMOUS 2,PS3,2011,Action,1.05,0.49,0.08,0.23
Viewtiful Joe 2,PS2,2004,Action,0.1,0.08,0,0.03
Sengoku Basara 4,PS3,2014,Action,0,0,0.27,0
Worms Armageddon,PS,1999,Strategy,0.18,0.81,0,0.08
Ishin no Arashi: Shippuu Ryuumeden,DS,2010,Strategy,0,0,0.01,0
Harry Potter and the Goblet of Fire,DS,2005,Action,0.21,0.02,0,0.02
Harry Potter and the Goblet of Fire,PS2,2005,Action,0.54,0.02,0,0.09
WipeOut 3 The Game,Wii,2012,Action,0.38,0,0,0.03
Monsters vs. Aliens,DS,2009,Action,0.33,0.13,0,0.05
Avatar: The Game,PS3,2009,Action,0.32,0.43,0,0.16
Resident Evil: Operation Raccoon City,PS3,2012,Action,0.48,0.25,0.36,0.1
Blades of Time,PS3,2012,Action,0.04,0.03,0.01,0.01
Rudolph the Red-Nosed Reindeer,Wii,2010,Action,0.15,0,0,0.01
Samurai Warriors: Katana,Wii,2007,Action,0.11,0,0.04,0.01
Fantastic Four: Rise of the Silver Surfer,PS3,2007,Action,0.12,0.02,0,0.02
The Simpsons Game,PS2,2007,Action,0.35,0.03,0,1.13
LEGO The Lord of the Rings,Wii,2012,Action,0.52,0.37,0,0.08
Trap Gunner: Countdown to Oblivion,PS,1998,Strategy,0.02,0.01,0,0
Coraline,PS2,2009,Action,0.06,0.04,0,0.01
ICO,PS2,2001,Action,0.23,0.18,0,0.06
Command & Conquer,PS,1996,Strategy,0.22,0.15,0,0.03
Metro: Last Light,PS3,2013,Action,0.14,0.2,0.03,0.08
Sentou Kokka Air Land Battle,PS,1995,Strategy,0,0,0.13,0.01
LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,0.37,0.49,0,0.1
Rosco McQueen: Firefighter Extreme,PS,1997,Action,0.05,0.04,0,0.01
Aliens in the Attic,Wii,2009,Action,0.07,0,0,0.01
Skylanders: SuperChargers,Wii,2015,Action,0.05,0.19,0,0.02
Captain America: Super Soldier,PS3,2011,Action,0.1,0.07,0,0.03
LEGO Indiana Jones: The Original Adventures,Wii,,Action,1.54,0.63,0,0.22
Kamen Rider: Battride War Genesis,PS3,2016,Action,0,0,0.04,0
Age of Empires: The Age of Kings,DS,2006,Strategy,0.19,0.02,0,0.02
Katekyoo Hitman Reborn! DS Flame Rumble XX - Kessen! Shin 6 Chouka,DS,2010,Action,0,0,0.06,0
The Lord of the Rings: Conquest,DS,2009,Action,0.09,0.01,0,0.01
The Incredible Hulk,DS,2008,Action,0.22,0,0,0.02
Madagascar: Escape 2 Africa,DS,2008,Action,0.42,0.26,0,0.07
Jaws: Ultimate Predator,Wii,2011,Action,0.09,0,0,0.01
Enslaved: Odyssey to the West,PS3,2010,Action,0.24,0.24,0.01,0.09
Tiny Toon Adventures: Toonenstein - Dare to Scare,PS,1998,Action,0.03,0.02,0,0
Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009,Action,0.16,0,0,0.01
Ben 10 Alien Force: Vilgax Attacks,PS2,2009,Action,0.11,0.03,0,0.15
Naughty Bear,PS3,2010,Action,0.18,0.18,0,0.07
Assassin's Creed: Revelations,PS3,2011,Action,1.41,2.02,0.1,0.72
Resident Evil Director's Cut: Dual Shock Edition,PS,1997,Action,0,0,0.16,0.01
Naruto Shippuuden: Shinobi Retsuden III,DS,2009,Action,0,0,0.04,0
Overlord II,PS3,2009,Action,0.11,0.15,0,0.06
The Suite Life of Zack & Cody: Tipton Trouble,DS,2006,Action,0.23,0,0,0.02
Pro Evolution Soccer 2014,PS3,2013,Action,0.03,0.43,0.51,0.01
Captain America: Super Soldier,DS,,Action,0.05,0,0,0
Tamagotchi no Pichi Pichi Omisecchi,DS,2010,Action,0,0,0.13,0
SpongeBob's Truth or Square,DS,2009,Action,0.08,0.07,0,0.01
Strike Witches: Anata to Dekiru Koto - A Little Peaceful Days,PS2,2010,Action,0,0,0.02,0
Vampire Rain: Altered Species,PS3,2008,Action,0.05,0,0,0
The Story of Noah's Ark,DS,2010,Action,0.1,0,0,0.01
Driver,PS,1999,Action,3.11,2.8,0.02,0.33
Clever Kids: Creepy Crawlies,DS,2009,Action,0,0.04,0,0
Natalie Brooks: Mystery at Hillcrest High,DS,2012,Action,0,0.02,0,0
Devil May Cry 3: Dante's Awakening,PS2,2005,Action,0.99,0.63,0.29,0.19
Legacy of Kain: Soul Reaver,PS,,Action,0.58,0.4,0,0.07
Cyber Sled,PS,1995,Action,0,0,0.13,0.01
Silent Hill: Downpour,PS3,2012,Action,0.21,0.16,0.04,0.06
Tenchu: Dark Secret,DS,2006,Action,0.03,0,0.01,0
Nightshade,PS2,2003,Action,0.06,0.04,0,0.01
Space Camp,DS,2009,Action,0.14,0,0,0.01
Making History: The Great War,Wii,2010,Strategy,0,0,0.15,0
Dragon Age II,PS3,2011,Action,0.4,0.27,0.05,0.12
Kousoku Card Battle: Card Hero,DS,2007,Strategy,0,0,0.11,0
Mobile Suit Gundam Side Story: Missing Link,PS3,2014,Action,0,0,0.12,0
Disaster Report,PS2,2002,Action,0.03,0.02,0.15,0.01
No More Heroes 2: Desperate Struggle,Wii,2010,Action,0.21,0.12,0.04,0.03
Batman: Arkham City,PS3,2011,Action,2.7,1.91,0.11,0.8
Winning Post 8 2015,PS3,2015,Action,0,0,0.02,0
DragonHeart: Fire & Steel,PS,1996,Action,0.02,0.01,0,0
Kartia: The Word of Fate,PS,1998,Strategy,0.05,0.03,0.12,0.01
Resident Evil,PS3,2006,Action,0,0,0.12,0
Uncharted: Drake's Fortune,PS3,2007,Action,2.31,1.73,0.12,0.78
Military History: Commander - Europe at War,DS,2009,Strategy,0,0.01,0,0
Prince of Persia: The Forgotten Sands,Wii,2010,Action,0.11,0.11,0,0.02
Castlevania: Lords of Shadow 2,PS3,2014,Action,0.03,0.13,0.02,0.04
Crysis 2,PS3,2011,Action,0.45,0.57,0.06,0.21
Godzilla Unleashed: Double Smash,DS,2007,Action,0.11,0,0,0.01
Ben 10: Alien Force,PS2,2008,Action,0.22,0.02,0,0.33
Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007,Strategy,0,0,0.03,0
Wrath Unleashed,PS2,2004,Strategy,0.04,0.03,0,0.01
Okami,PS2,2006,Action,0.11,0.03,0.15,0.34
Raw Danger!,PS2,2006,Action,0.02,0.01,0,0
Phineas and Ferb: Across the 2nd Dimension,DS,2011,Action,0.32,0.19,0,0.05
Resident Evil Director's Cut,PS,1996,Action,1.82,1.24,0.47,0.25
The Amazing Spider-Man (Console Version),Wii,2012,Action,0.11,0.04,0,0.01
Gegege no Kitarou: Youkai Daigekisen,DS,2008,Action,0,0,0.06,0
LEGO Battles,DS,2009,Strategy,0.81,0.38,0,0.12
Scooby-Doo! Mystery Mayhem,PS2,2004,Action,0.22,0.17,0,0.06
Transformer: Rise of the Dark Spark,PS3,2014,Action,0.04,0.05,0.01,0.02
Prince of Persia: The Two Thrones,PS2,2005,Action,0.57,0.02,0,0.09
Ben 10 Alien Force: Vilgax Attacks,Wii,2009,Action,0.25,0.15,0,0.04
Natsuiro High School: Seishun Hakusho,PS3,2015,Action,0,0,0.02,0
The Last Airbender,DS,2010,Action,0.13,0.04,0,0.01
Kessen,PS2,2000,Strategy,0.27,0.21,0.41,0.07
San Goku Shi DS 3,DS,2010,Strategy,0,0,0.04,0
Jaws Unleashed,PS2,2006,Action,0.5,0.02,0,0.08
Medieval Games,Wii,2009,Action,0.14,0.01,0,0.01
Disney's Treasure Planet,PS2,2002,Action,0.16,0.13,0,0.04
Deadpool,PS3,2013,Action,0.23,0.17,0,0.08
Action Bass,PS,2000,Action,0.64,0.43,0,0.07
Brave: The Video Game,Wii,2012,Action,0,0.02,0,0
The Mummy Returns,PS2,2001,Action,0.25,0.19,0,0.06
Invizimals: The Lost Kingdom,PS3,2013,Action,0,0.02,0,0.01
Star Wars: Lethal Alliance,DS,2006,Action,0.08,0.01,0,0.01
Shadow Madness,PS,1999,Action,0.1,0.07,0,0.01
RoadKill,PS2,2003,Action,0.08,0.07,0,0.02
Bee Movie Game,DS,2007,Action,0.41,0,0,0.03
Chuck E. Cheese's Super Collection,Wii,2011,Action,0.02,0,0,0
Beat Down: Fists of Vengeance,PS2,2005,Action,0.04,0.03,0.09,0.01
Madagascar: Escape 2 Africa,PS3,2008,Action,0.12,0.08,0,0.04
"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",PS3,2007,Action,0.32,0.04,0.01,0.04
JoJo no Kimy? na B?ken Fantomu Buraddo,PS2,2006,Action,0,0,0.05,0
Bakugan: Battle Brawlers,DS,2009,Action,1.27,0.02,0,0.09
Megamind: Ultimate Showdown,PS3,2010,Action,0.07,0.06,0,0.02
Ben 10: Protector of Earth,Wii,2007,Action,0.55,0.55,0,0.13
Alex Rider: Stormbreaker,DS,,Action,0.06,0,0,0
Monkey Madness: Island Escape,DS,2010,Action,0.01,0,0,0
Ratatouille,PS2,2007,Action,0.31,0,0,0.53
Kamen Rider: Battride War II,PS3,2014,Action,0,0,0.1,0
Nanashi no Game Me,DS,2009,Action,0,0,0.03,0
007: The World is not Enough,PS,2000,Action,0.51,0.35,0,0.06
Disney Universe,Wii,2011,Action,0.67,0.3,0,0.1
Pirates: Duels on the High Seas,DS,2008,Action,0.03,0,0,0
Cory in the House,DS,2007,Action,0.11,0,0,0.01
Secret Service: Ultimate Sacrifice,PS2,2008,Action,0.03,0.03,0,0.01
Dynasty Warriors 3: Xtreme Legends,PS2,2002,Action,0.13,0.1,0.74,0.03
SpongeBob's Truth or Square (US sales),Wii,2009,Action,0.38,0.01,0,0
Hannah Montana,DS,2006,Action,1.59,0.8,0,0.26
Pacific Liberator,Wii,2009,Action,0.03,0,0,0
Super Robot Taisen Neo,Wii,2009,Strategy,0,0,0.05,0
Dead Space 3,PS3,2013,Action,0.44,0.38,0,0.17
Naruto: Ninja Council 3,DS,2006,Action,0.39,0,0,0.03
Chess,PS,2001,Strategy,0.05,0.04,0,0.01
Mega Man X7,PS2,2003,Action,0.22,0.17,0.14,0.06
Chaos Wars,PS2,2006,Strategy,0,0,0.04,0
Twisted Metal III,PS,1998,Action,1.48,0.2,0,0.05
Fatal Frame II: Crimson Butterfly,PS2,2003,Action,0.08,0.06,0,0.02
Death By Degrees,PS2,2005,Action,0.05,0.04,0,0.01
Fatal Frame III: The Tormented,PS2,2005,Action,0.04,0.03,0,0.01
Heavenly Sword,PS3,2007,Action,0.57,0.73,0.06,0.3
Dynasty Warriors 7,PS3,2011,Action,0.25,0.14,0.46,0.06
Killer7,PS2,2005,Action,0.04,0.03,0,0.01
Transformers: Devastation,PS3,2015,Action,0.03,0.07,0,0.02
Turok,PS3,2008,Action,0.35,0.22,0.01,0.1
Top Spin 3,DS,2008,Action,0.11,0.02,0,0.01
Green Lantern: Rise of the Manhunters,Wii,2011,Action,0.06,0.04,0,0.01
The Chronicles of Narnia: Prince Caspian,DS,2008,Action,0.19,0.01,0,0.02
And1 Streetball,PS2,2006,Action,0.13,0.1,0,0.03
Tomb Raider: Underworld,DS,2008,Action,0.16,0.03,0,0.02
Dynasty Warriors 5,PS2,2005,Action,0.24,0.18,0.91,0.06
Tomb Raider: Anniversary,PS2,2007,Action,0.41,0.02,0,0.07
Spider-Man: Shattered Dimensions,PS3,2010,Action,0.26,0.13,0,0.06
Heroes of Mana,DS,2007,Strategy,0.08,0.01,0.05,0.01
Shellshock,PS,1995,Action,0.06,0.04,0,0.01
Catwoman,PS2,2004,Action,0.08,0.06,0,0.02
Bladestorm: Nightmare,PS3,2015,Action,0,0,0.03,0
Book of Spells,PS3,2012,Action,0.13,0.4,0,0.16
Saihai no Yukue,DS,2008,Strategy,0,0,0.03,0
San-X Land: Theme Park de Asobou!,DS,2006,Action,0,0,0.04,0
Seven Samurai 20XX,PS2,2004,Action,0.04,0.03,0,0.01
Ghosthunter,PS2,2003,Action,0.04,0.03,0,0.01
PlayStation All-Stars Battle Royale,PS3,2012,Action,0.5,0.28,0.04,0.14
Disney's Stitch: Experiment 626,PS2,2002,Action,0.15,0.12,0,0.04
Silent Hill 4: The Room,PS2,2004,Action,0.25,0.19,0,0.06
The Lord of the Rings: Aragorn's Quest,PS2,2010,Action,0.03,0.02,0,0.01
Kuroshitsuji: Phantom & Ghost,DS,2009,Action,0,0,0.04,0
Resident Evil: Survivor,PS,2000,Action,0.23,0.15,0.29,0.05
Phineas and Ferb: Across the 2nd Dimension,PS3,2011,Action,0.15,0.12,0,0.05
Yu-Gi-Oh! World Championship 2008,DS,2007,Strategy,0.13,0.02,0.12,0.01
The Incredibles: Rise of the Underminer,PS2,2005,Action,0.18,0.14,0,0.05
Ninjabread Man,Wii,2007,Action,0.07,0,0,0.01
Captain America: Super Soldier,Wii,,Action,0.05,0,0,0
Thor: God of Thunder,PS3,2011,Action,0.07,0.06,0,0.02
Marc Ecko's Getting Up: Contents Under Pressure,PS2,2006,Action,0.03,0.02,0,0.01
Robots,PS2,2005,Action,0.18,0.14,0,0.05
New Play Control! Pikmin,Wii,2008,Strategy,0.29,0.14,0.19,0.04
Tomb Raider Chronicles,PS,1999,Action,0.34,0.23,0,0.04
Command & Conquer: Red Alert Retaliation,PS,1998,Strategy,0.39,0.27,0,0.05
Castlevania: Lords of Shadow - Reverie,PS3,2011,Action,0.02,0.01,0,0.01
Toukiden 2,PS3,2016,Action,0,0,0.02,0
Auto Destruct,PS,1998,Action,0.04,0.03,0,0.01
Robocalypse,DS,2008,Strategy,0.07,0,0,0
Time Commando,PS,1996,Action,0.1,0.07,0,0.01
The Incredibles,PS2,2004,Action,0.96,1.08,0.04,0.3
Danny Phantom: Urban Jungle,DS,2006,Action,0.04,0,0,0
Dynasty Tactics 2,PS2,2003,Strategy,0.05,0.04,0,0.01
Medal of Honor: Warfighter,PS3,2012,Action,0.47,0.65,0.06,0.28
Tom Clancy's HAWX,PS3,2009,Action,0.21,0.22,0.05,0.09
Uncharted 3: Drake's Deception,PS3,2011,Action,2.77,2.8,0.19,1.06
Tomb Raider: Underworld,Wii,2008,Action,0.14,0.28,0,0.06
Ball Breakers,PS,2000,Action,0.1,0.07,0,0.01
Ninja Gaiden Sigma,PS3,2007,Action,0.57,0.33,0.09,0.16
Batman Forever: The Arcade Game,PS,1996,Action,0.02,0.01,0,0
Prince of Persia Trilogy,PS3,2010,Action,0.17,0.25,0,0.09
The Getaway: Black Monday,PS2,2004,Action,0.39,1.01,0.02,0.36
Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,0.17,0.13,0,0.03
G-Force,Wii,2009,Action,0.19,0.2,0,0.05
The Legend of Kage 2,DS,2008,Action,0.07,0,0,0
Samurai Warriors 4-II,PS3,2015,Action,0,0,0.11,0
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,PS2,2005,Action,0.1,0.08,0,0.03
T'ai Fu: Wrath of the Tiger,PS,1998,Action,0.08,0.06,0,0.01
TMNT,Wii,2007,Action,0.34,0.03,0,0.03
Trapt,PS2,2005,Action,0.03,0.02,0,0.01
Kamen Rider Ryuki,PS,2002,Action,0,0,0.13,0.01
Zangeki no Reginleiv,Wii,2010,Action,0,0,0.11,0
Mercenaries: Playground of Destruction,PS2,2005,Action,0.64,0.02,0,0.1
Deadly Premonition,PS3,2010,Action,0.08,0.05,0,0.02
All Star Karate,Wii,2010,Action,0.14,0.07,0,0.02
Onimusha: Warlords,PS2,2001,Action,0.99,0.48,1.09,0.14
Thrillville: Off the Rails,Wii,2007,Strategy,0.39,0.02,0,0.03
Superman Returns,DS,2006,Action,0.07,0,0,0.01
SD Gundam G Generation Wars,PS2,2009,Strategy,0,0,0.31,0
Epic Mickey 2: The Power of Two,PS3,2012,Action,0.21,0.2,0,0.08
LEGO Harry Potter: Years 5-7,Wii,,Action,0.76,0.47,0,0.13
Sengoku Musou 3 Empires,PS3,2011,Action,0,0,0.14,0
Urban Reign,PS2,2005,Action,0.04,0.03,0,0.01
Yu-Gi-Oh! 5D's: Duel Transer,Wii,2010,Strategy,0.11,0.02,0.02,0.01
